B,tau_q,delta_sse_over_sigma2
0.5,0.0015035617008818166,176.48178998915682
0.5,0.001687023975571047,172.3616537615269
0.5,0.0018928720334405798,167.5158286134674
0.5,0.002123837353152414,162.44358698409513
0.5,0.002382984704172844,156.9825775446091
0.5,0.0026737528144012363,149.35604766451553
0.5,0.003,133.25522398545843
0.5,0.003366055362905891,134.18527011909717
0.5,0.0037767762353825016,122.56822430723194
0.5,0.004237612633868262,115.0629444603658
0.5,0.00475467957738334,101.21537513653853
0.5,0.005334838230116768,89.04650338625893
0.5,0.005985786944906639,82.6429996612843
0.5,0.006716163415705018,70.59515497640766
0.5,0.00753565929452874,66.22914011683194
0.5,0.00845514879379336,57.59340387378796
0.5,0.009486832980505138,57.53900867594466
0.5,0.010644401677007264,51.180715846468736
0.5,0.011943215116604915,44.68264195727584
0.5,0.013400507764528894,38.028334808236416
0.5,0.015035617008818166,31.286876044493024
0.5,0.016870239755710472,24.594962273383477
0.5,0.018928720334405798,18.150427626098168
0.5,0.02123837353152414,12.210442490110987
0.5,0.023829847041728452,7.087625265489893
0.5,0.02673752814401236,3.1308397864948554
0.5,0.03,0.6798075977189985
0.5,0.033660553629058905,0.0
0.5,0.03776776235382502,1.22539932332399
0.5,0.042376126338682645,4.337640123962415
0.5,0.0475467957738334,9.187239793615152
0.5,0.05334838230116768,15.538775016411416
0.5,0.05985786944906639,23.116803863050492
0.5,0.06716163415705019,31.63965872422726
0.5,0.07535659294528743,40.83962840160343
0.5,0.08455148793793361,50.47326459077488
0.5,0.09486832980505139,60.32582214175785
0.5,0.10644401677007265,70.21252495256256
0.5,0.11943215116604919,79.97821031215608
0.5,0.134005077645289,89.49621629390316
0.5,0.15035617008818167,98.66691357855056
0.5,0.1687023975571048,107.41586495639528
0.5,0.189287203344058,115.69133965531016
0.5,0.2123837353152413,123.4609242560209
0.5,0.23829847041728452,130.70740305336236
0.5,0.2673752814401236,137.42445909683445
0.5,0.30000000000000016,143.61310585997953
0.5,0.3366055362905891,149.279477809353
0.5,0.37767762353825046,154.43408936126838
0.5,0.4237612633868264,159.09210740496013
0.5,0.47546795773833395,163.27385270015384
0.5,0.5334838230116771,167.00487836100996
0.5,0.5985786944906639,170.31541537697157
0.9,0.0015035617008818166,10.988413959648508
0.9,0.001687023975571047,10.650261389267
0.9,0.0018928720334405798,0.4392223320769022
0.9,0.002123837353152414,9.709070099349512
0.9,0.002382984704172844,0.0
0.9,0.0026737528144012363,10.16619594329312
0.9,0.003,10.234458991094309
0.9,0.003366055362905891,10.30988502570448
0.9,0.0037767762353825016,10.3976468285409
0.9,0.004237612633868262,10.497884052221446
0.9,0.00475467957738334,10.610637841726252
0.9,0.005334838230116768,10.735816033289211
0.9,0.005985786944906639,10.87305787315895
0.9,0.006716163415705018,11.021555882173914
0.9,0.00753565929452874,11.179892679799854
0.9,0.00845514879379336,11.345931733829635
0.9,0.009486832980505138,11.516829977695899
0.9,0.010644401677007264,11.689161926134302
0.9,0.011943215116604915,11.859167421300896
0.9,0.013400507764528894,12.023117316498569
0.9,0.015035617008818166,12.177776818492074
0.9,0.016870239755710472,12.32093547971118
0.9,0.018928720334405798,12.451938747810312
0.9,0.02123837353152414,12.572097087905593
0.9,0.023829847041728452,12.684902168330522
0.9,0.02673752814401236,12.79581295296665
0.9,0.03,12.911650485822591
0.9,0.033660553629058905,13.039580969055372
0.9,0.03776776235382502,13.185892041795952
0.9,0.042376126338682645,13.354856438798132
0.9,0.0475467957738334,13.54795264250826
0.9,0.05334838230116768,13.763637718566452
0.9,0.05985786944906639,13.997669154848031
0.9,0.06716163415705019,14.243854115362433
0.9,0.07535659294528743,14.494986118324645
0.9,0.08455148793793361,14.743774124622039
0.9,0.09486832980505139,14.983594958023565
0.9,0.10644401677007265,15.208994935478687
0.9,0.11943215116604919,15.415940386571958
0.9,0.134005077645289,15.601858183201202
0.9,0.15035617008818167,15.765538475018145
0.9,0.1687023975571048,15.906943200170378
0.9,0.189287203344058,16.026974938530433
0.9,0.2123837353152413,16.12722915099588
0.9,0.23829847041728452,16.209756274223597
0.9,0.2673752814401236,16.276841311523206
0.9,0.30000000000000016,16.33081683067458
0.9,0.3366055362905891,16.37392163646324
0.9,0.37767762353825046,16.40819354876634
0.9,0.4237612633868264,16.435413666379784
0.9,0.47546795773833395,16.45707998748492
0.9,0.5334838230116771,16.47441608583874
0.9,0.5985786944906639,16.48839342631995
1.0,0.0015035617008818166,0.0
1.0,0.001687023975571047,0.020619609785801456
1.0,0.0018928720334405798,0.043003249221530745
1.0,0.002123837353152414,0.06717345323761227
1.0,0.002382984704172844,0.09318223507229971
1.0,0.0026737528144012363,0.12102060224950231
1.0,0.003,0.15063903034410844
1.0,0.003366055362905891,0.18193055397231117
1.0,0.0037767762353825016,0.21470198662110182
1.0,0.004237612633868262,0.2486780832301387
1.0,0.00475467957738334,0.28345770196122366
1.0,0.005334838230116768,0.3185101297806105
1.0,0.005985786944906639,0.3531566882186656
1.0,0.006716163415705018,0.386583339665477
1.0,0.00753565929452874,0.41783744053812705
1.0,0.00845514879379336,0.44587912003870767
1.0,0.009486832980505138,0.46963522052033135
1.0,0.010644401677007264,0.48811006077152713
1.0,0.011943215116604915,0.5004768654919411
1.0,0.013400507764528894,0.5062167487790307
1.0,0.015035617008818166,0.5052036041070032
1.0,0.016870239755710472,0.49774765016921396
1.0,0.018928720334405798,0.48457181448756165
1.0,0.02123837353152414,0.46668444286256916
1.0,0.023829847041728452,0.44519545524659293
1.0,0.02673752814401236,0.42111509500532923
1.0,0.03,0.39518294495865597
1.0,0.033660553629058905,0.3677924471041254
1.0,0.03776776235382502,0.33903125159503733
1.0,0.042376126338682645,0.3088124613294802
1.0,0.0475467957738334,0.27706820015798034
1.0,0.05334838230116768,0.2439466858582474
1.0,0.05985786944906639,0.2099738859495154
1.0,0.06716163415705019,0.17613321191382855
1.0,0.07535659294528743,0.14385458144584395
1.0,0.08455148793793361,0.1149045933591828
1.0,0.09486832980505139,0.09121407866353991
1.0,0.10644401677007265,0.07463881537207456
1.0,0.11943215116604919,0.06672779971893943
1.0,0.134005077645289,0.0685105563398321
1.0,0.15035617008818167,0.08034540603834847
1.0,0.1687023975571048,0.1018361404289762
1.0,0.189287203344058,0.13184647737338007
1.0,0.2123837353152413,0.16861049302849837
1.0,0.23829847041728452,0.20992367424679728
1.0,0.2673752814401236,0.25339269519668794
1.0,0.30000000000000016,0.2967001110733831
1.0,0.3366055362905891,0.3378331086385243
1.0,0.37767762353825046,0.3752441625601015
1.0,0.4237612633868264,0.4079228992107468
1.0,0.47546795773833395,0.4353823665734537
1.0,0.5334838230116771,0.4575802636948478
1.0,0.5985786944906639,0.4748091563811958
1.28,0.0015035617008818166,20.677687389539898
1.28,0.001687023975571047,20.509761214229197
1.28,0.0018928720334405798,20.320299557667166
1.28,0.002123837353152414,20.106398296434183
1.28,0.002382984704172844,19.864754694582697
1.28,0.0026737528144012363,19.591598590356448
1.28,0.003,19.28269390036693
1.28,0.003366055362905891,18.93331004286946
1.28,0.0037767762353825016,18.53826731844008
1.28,0.004237612633868262,18.092024609452857
1.28,0.00475467957738334,17.58883045416807
1.28,0.005334838230116768,17.022954270238994
1.28,0.005985786944906639,16.388968660697195
1.28,0.006716163415705018,15.682092871872332
1.28,0.00753565929452874,14.898569344276533
1.28,0.00845514879379336,14.036103887210281
1.28,0.009486832980505138,13.094358514148372
1.28,0.010644401677007264,12.075554311720438
1.28,0.011943215116604915,10.985187987777183
1.28,0.013400507764528894,9.832802415655765
1.28,0.015035617008818166,8.63272237244897
1.28,0.016870239755710472,7.404559845914151
1.28,0.018928720334405798,6.173265093570358
1.28,0.02123837353152414,4.968551802554513
1.28,0.023829847041728452,3.8235823168457417
1.28,0.02673752814401236,2.773056972615436
1.28,0.03,1.8509757955003343
1.28,0.033660553629058905,1.0885157263199121
1.28,0.03776776235382502,0.5124350586039608
1.28,0.042376126338682645,0.14422349160268944
1.28,0.0475467957738334,0.0
1.28,0.05334838230116768,0.09088126729033497
1.28,0.05985786944906639,0.42347424805568745
1.28,0.06716163415705019,1.0001848867742256
1.28,0.07535659294528743,1.8191977208314776
1.28,0.08455148793793361,2.8742041828806046
1.28,0.09486832980505139,4.153989914805536
1.28,0.10644401677007265,5.64213657532873
1.28,0.11943215116604919,7.316969801009499
1.28,0.134005077645289,9.15181601233941
1.28,0.15035617008818167,11.115603104713042
1.28,0.1687023975571048,13.173729962446764
1.28,0.189287203344058,15.28920515285385
