case,specimen,B,in_band,dB_rel
1,capacitor 3.9 mm,2.23,False,
2,limestone 1.7 mm,2.17,False,
3,metal foam 5.1 mm,3.04,False,
4,leucocratic 1.75 mm,1.77,True,
5,basalt 1.86 mm,1.2540034491254002,True,
6,basalt 2.75 mm,1.1615408619673382,True,
7,basalt 3.84 mm,1.0630758327427354,True,
8,basalt 1.86 mm,1.3052598865667004,True,
9,basalt 2.75 mm,1.277163553183378,True,
10,basalt 3.84 mm,0.9558823529411764,True,
11,metal foam 5.2 mm,2.4075450253540827,False,
12,capacitor 3.9 mm,1.5321756894790604,True,0.027804828162685834
