case,source,citekey,specimen,alpha_1e6_LIT,tau_q_s_LIT,kappa2_1e6_LIT,B_calc_DER,B_reported_LIT,B_used,in_band,dB_rel_DER,R2_LIT,note
1,Van et al. 2017,Van2017,capacitor 3.9 mm,2.13,0.954,,,2.23,2.23,False,,,authors' b used; see sec:van-lb
2,Van et al. 2017,Van2017,limestone 1.7 mm,2.95,0.991,,,2.17,2.17,False,,,authors' b used; see sec:van-lb
3,Van et al. 2017,Van2017,metal foam 5.1 mm,2.373,0.402,,,3.04,3.04,False,,,authors' b used; see sec:van-lb
4,Van et al. 2017,Van2017,leucocratic 1.75 mm,4.77,1.32,,,1.77,1.77,True,,,authors' b used; see sec:van-lb
5,"earlier eval., in FeherKovacs2021 Table 1",FeherKovacs2021,basalt 1.86 mm,0.55,0.738,0.509,1.2540034491254002,1.243,1.254,True,,,
6,"earlier eval., in FeherKovacs2021 Table 1",FeherKovacs2021,basalt 2.75 mm,0.604,0.955,0.67,1.1615408619673382,1.171,1.1615,True,,,
7,"earlier eval., in FeherKovacs2021 Table 1",FeherKovacs2021,basalt 3.84 mm,0.68,0.664,0.48,1.0630758327427354,1.06,1.0631,True,,,
8,Feher & Kovacs 2021,FeherKovacs2021,basalt 1.86 mm,0.61,0.211,0.168,1.3052598865667004,1.295,1.3053,True,,0.9975,
9,Feher & Kovacs 2021,FeherKovacs2021,basalt 2.75 mm,0.61,0.344,0.268,1.277163553183378,1.272,1.2772,True,,0.9964,
10,Feher & Kovacs 2021,FeherKovacs2021,basalt 3.84 mm,0.68,1.0,0.65,0.9558823529411764,0.94,0.9559,True,,0.9986,
11,Feher & Kovacs 2021,FeherKovacs2021,metal foam 5.2 mm,3.01,0.304,2.203,2.4075450253540827,2.395,2.4075,False,,,
12,Both et al. 2016,Both2016,capacitor 3.9 mm,1.958,0.51,1.53,1.5321756894790604,,1.5322,True,0.027804828162685834,0.9996,only case reporting parameter uncertainties
