Omega,V_A,V_B,V_C,Delta_BC,Delta_AC,Delta_AB
1.0000000000e-03,3.107268903703e-01,4.663012299753e-01,4.663012289797e-01,2.135121580079e-09,3.336348457622e-01,3.336348471850e-01
1.1220184543e-03,3.107268902759e-01,4.663012196115e-01,4.663012201077e-01,1.064079438147e-09,3.336348332863e-01,3.336348325772e-01
1.2589254118e-03,3.107268901758e-01,4.663012096130e-01,4.663012097274e-01,2.453651994186e-10,3.336348186670e-01,3.336348185035e-01
1.4125375446e-03,3.107268900699e-01,4.663011986695e-01,4.663011987111e-01,8.905582408756e-11,3.336348031514e-01,3.336348030920e-01
1.5848931925e-03,3.107268899576e-01,4.663011869301e-01,4.663011869600e-01,6.411396648788e-11,3.336347865993e-01,3.336347865565e-01
1.7782794100e-03,3.107268898387e-01,4.663011743236e-01,4.663011746471e-01,6.937244307730e-10,3.336347692586e-01,3.336347687963e-01
1.9952623150e-03,3.107268897128e-01,4.663011612777e-01,4.663011620916e-01,1.745598858941e-09,3.336347515863e-01,3.336347504231e-01
2.2387211386e-03,3.107268895794e-01,4.663011473663e-01,4.663011476064e-01,5.148726961270e-10,3.336347311722e-01,3.336347308291e-01
2.5118864315e-03,3.107268894403e-01,4.663011328337e-01,4.663011330010e-01,3.586046179619e-10,3.336347105987e-01,3.336347103597e-01
2.8183829313e-03,3.107268892942e-01,4.663011172520e-01,4.663011174393e-01,4.018431060417e-10,3.336346886739e-01,3.336346884061e-01
3.1622776602e-03,3.107268891395e-01,4.663011006866e-01,4.663011006789e-01,1.641926217046e-11,3.336346650542e-01,3.336346650652e-01
3.5481338923e-03,3.107268889758e-01,4.663010837327e-01,4.663010834102e-01,6.915435297530e-10,3.336346407276e-01,3.336346411885e-01
3.9810717055e-03,3.107268888024e-01,4.663010646518e-01,4.663010661363e-01,3.183446769871e-09,3.336346164141e-01,3.336346142928e-01
4.4668359215e-03,3.107268886189e-01,4.663010449497e-01,4.663010449064e-01,9.271996217948e-11,3.336345864692e-01,3.336345865310e-01
5.0118723363e-03,3.107268884246e-01,4.663010246515e-01,4.663010246629e-01,2.449913741246e-11,3.336345579569e-01,3.336345579406e-01
5.6234132519e-03,3.107268882189e-01,4.663010020142e-01,4.663010025608e-01,1.172145259120e-09,3.336345268131e-01,3.336345260320e-01
6.3095734448e-03,3.107268880012e-01,4.663009787482e-01,4.663009781475e-01,1.288220168017e-09,3.336344923924e-01,3.336344932508e-01
7.0794578438e-03,3.107268877705e-01,4.663009534139e-01,4.663009534110e-01,6.306330072486e-12,3.336344575374e-01,3.336344575416e-01
