Omega,Dw,model,V,Delta_BC_at_Dw
1.0000000000e-03,1.000000e+00,A,3.107268903703e-01,1.188502e-09
1.0000000000e-03,1.000000e+00,B,4.663012297339e-01,1.188502e-09
1.0000000000e-03,1.000000e+00,C,4.663012302881e-01,1.188502e-09
1.2115276586e-03,1.000000e+00,A,3.107268905541e-01,1.877971e-09
1.2115276586e-03,1.000000e+00,B,4.663012128388e-01,1.877971e-09
1.2115276586e-03,1.000000e+00,C,4.663012137145e-01,1.877971e-09
1.4677992676e-03,1.000000e+00,A,3.107268903765e-01,2.108080e-09
1.4677992676e-03,1.000000e+00,B,4.663011942403e-01,2.108080e-09
1.4677992676e-03,1.000000e+00,C,4.663011952233e-01,2.108080e-09
1.7782794100e-03,1.000000e+00,A,3.107268901810e-01,3.963747e-09
1.7782794100e-03,1.000000e+00,B,4.663011736715e-01,3.963747e-09
1.7782794100e-03,1.000000e+00,C,4.663011755198e-01,3.963747e-09
2.1544346900e-03,1.000000e+00,A,3.107268899658e-01,5.799471e-09
2.1544346900e-03,1.000000e+00,B,4.663011509339e-01,5.799471e-09
2.1544346900e-03,1.000000e+00,C,4.663011536382e-01,5.799471e-09
2.6101572157e-03,1.000000e+00,A,3.107268897290e-01,9.156100e-09
2.6101572157e-03,1.000000e+00,B,4.663011254601e-01,9.156100e-09
2.6101572157e-03,1.000000e+00,C,4.663011297296e-01,9.156100e-09
3.1622776602e-03,1.000000e+00,A,3.107268894685e-01,1.250844e-08
3.1622776602e-03,1.000000e+00,B,4.663010978146e-01,1.250844e-08
3.1622776602e-03,1.000000e+00,C,4.663011036473e-01,1.250844e-08
3.8311868496e-03,1.000000e+00,A,3.107268891818e-01,1.789959e-08
3.8311868496e-03,1.000000e+00,B,4.663010666693e-01,1.789959e-08
3.8311868496e-03,1.000000e+00,C,4.663010750159e-01,1.789959e-08
4.6415888336e-03,1.000000e+00,A,3.107268888662e-01,2.694440e-08
4.6415888336e-03,1.000000e+00,B,4.663010320836e-01,2.694440e-08
4.6415888336e-03,1.000000e+00,C,4.663010446478e-01,2.694440e-08
