run_id,solver_hash,Omega,tau0,V,Delta_T,above_floor
20260906-124742,7cfda8cdc7345f93,1.0000000000e-03,1.0000000000e-05,4.663012308878e-01,8.137139e-10,False
20260906-124742,7cfda8cdc7345f93,1.1220184543e-03,1.0000000000e-05,4.663012201988e-01,5.998867e-11,False
20260906-124742,7cfda8cdc7345f93,1.2589254118e-03,1.0000000000e-05,4.663012102198e-01,1.327828e-09,False
20260906-124742,7cfda8cdc7345f93,1.4125375446e-03,1.0000000000e-05,4.663011985676e-01,4.750002e-10,False
20260906-124742,7cfda8cdc7345f93,1.5848931925e-03,1.0000000000e-05,4.663011870012e-01,9.156793e-11,False
20260906-124742,7cfda8cdc7345f93,1.7782794100e-03,1.0000000000e-05,4.663011745937e-01,2.367054e-10,False
20260906-124742,7cfda8cdc7345f93,1.9952623150e-03,1.0000000000e-05,4.663011623734e-01,2.432397e-09,False
20260906-124742,7cfda8cdc7345f93,2.2387211386e-03,1.0000000000e-05,4.663011482725e-01,2.123942e-09,False
20260906-124742,7cfda8cdc7345f93,2.5118864315e-03,1.0000000000e-05,4.663011330254e-01,7.398734e-10,False
20260906-124742,7cfda8cdc7345f93,2.8183829313e-03,1.0000000000e-05,4.663011171666e-01,1.632436e-10,False
20260906-124742,7cfda8cdc7345f93,3.1622776602e-03,1.0000000000e-05,4.663011004482e-01,1.466542e-09,False
20260906-124742,7cfda8cdc7345f93,3.5481338923e-03,1.0000000000e-05,4.663010832369e-01,2.334033e-09,False
20260906-124742,7cfda8cdc7345f93,3.9810717055e-03,1.0000000000e-05,4.663010646930e-01,1.981660e-10,False
20260906-124742,7cfda8cdc7345f93,4.4668359215e-03,1.0000000000e-05,4.663010449810e-01,2.000131e-10,False
20260906-124742,7cfda8cdc7345f93,5.0118723363e-03,1.0000000000e-05,4.663010246559e-01,2.462580e-12,False
20260906-124742,7cfda8cdc7345f93,5.6234132519e-03,1.0000000000e-05,4.663010016499e-01,1.091014e-09,False
20260906-124742,7cfda8cdc7345f93,6.3095734448e-03,1.0000000000e-05,4.663009787285e-01,3.198443e-09,False
20260906-124742,7cfda8cdc7345f93,7.0794578438e-03,1.0000000000e-05,4.663009533915e-01,4.349634e-09,False
20260906-124742,7cfda8cdc7345f93,7.9432823472e-03,1.0000000000e-05,4.663009277403e-01,3.237819e-11,False
20260906-124742,7cfda8cdc7345f93,8.9125093813e-03,1.0000000000e-05,4.663008999592e-01,7.432636e-10,False
20260906-124742,7cfda8cdc7345f93,1.0000000000e-02,1.0000000000e-05,4.663008705387e-01,9.024480e-11,False
20260906-124742,7cfda8cdc7345f93,1.1220184543e-02,1.0000000000e-05,4.663008393939e-01,2.340670e-10,False
20260906-124742,7cfda8cdc7345f93,1.2589254118e-02,1.0000000000e-05,4.663008064113e-01,9.683864e-11,False
20260906-124742,7cfda8cdc7345f93,1.4125375446e-02,1.0000000000e-05,4.663007708495e-01,1.266634e-09,False
20260906-124742,7cfda8cdc7345f93,1.5848931925e-02,1.0000000000e-05,4.663007344803e-01,7.409316e-11,False
20260906-124742,7cfda8cdc7345f93,1.7782794100e-02,1.0000000000e-05,4.663006952539e-01,6.724446e-11,False
20260906-124742,7cfda8cdc7345f93,1.9952623150e-02,1.0000000000e-05,4.663006530450e-01,8.171878e-11,False
20260906-124742,7cfda8cdc7345f93,2.2387211386e-02,1.0000000000e-05,4.663006097445e-01,9.493493e-10,False
20260906-124742,7cfda8cdc7345f93,2.5118864315e-02,1.0000000000e-05,4.663005630080e-01,2.723495e-10,False
20260906-124742,7cfda8cdc7345f93,2.8183829313e-02,1.0000000000e-05,4.663005139305e-01,1.907003e-09,False
20260906-124742,7cfda8cdc7345f93,3.1622776602e-02,1.0000000000e-05,4.663004614738e-01,8.062156e-11,False
20260906-124742,7cfda8cdc7345f93,3.5481338923e-02,1.0000000000e-05,4.663004057721e-01,8.169731e-10,False
20260906-124742,7cfda8cdc7345f93,3.9810717055e-02,1.0000000000e-05,4.663003474021e-01,1.682408e-10,False
20260906-124742,7cfda8cdc7345f93,4.4668359215e-02,1.0000000000e-05,4.663002856442e-01,6.538245e-10,False
20260906-124742,7cfda8cdc7345f93,5.0118723363e-02,1.0000000000e-05,4.663002194352e-01,1.693756e-10,False
20260906-124742,7cfda8cdc7345f93,5.6234132519e-02,1.0000000000e-05,4.663001494931e-01,3.017094e-10,False
20260906-124742,7cfda8cdc7345f93,6.3095734448e-02,1.0000000000e-05,4.663000758093e-01,8.539782e-10,False
20260906-124742,7cfda8cdc7345f93,7.0794578438e-02,1.0000000000e-05,4.662999975937e-01,4.396140e-10,False
20260906-124742,7cfda8cdc7345f93,7.9432823472e-02,1.0000000000e-05,4.662999146997e-01,5.118309e-10,False
20260906-124742,7cfda8cdc7345f93,8.9125093813e-02,1.0000000000e-05,4.662998269716e-01,5.221500e-10,False
20260906-124742,7cfda8cdc7345f93,1.0000000000e-01,1.0000000000e-05,4.662997339663e-01,7.527376e-10,False
20260906-124742,7cfda8cdc7345f93,1.1220184543e-01,1.0000000000e-05,4.662996360189e-01,2.814266e-10,False
20260906-124742,7cfda8cdc7345f93,1.2589254118e-01,1.0000000000e-05,4.662995311901e-01,1.756298e-09,False
20260906-124742,7cfda8cdc7345f93,1.4125375446e-01,1.0000000000e-05,4.662994207222e-01,1.175878e-09,False
20260906-124742,7cfda8cdc7345f93,1.5848931925e-01,1.0000000000e-05,4.662993037868e-01,1.183305e-09,False
20260906-124742,7cfda8cdc7345f93,1.7782794100e-01,1.0000000000e-05,4.662991793149e-01,1.696072e-09,False
20260906-124742,7cfda8cdc7345f93,1.9952623150e-01,1.0000000000e-05,4.662990483944e-01,1.364868e-09,False
20260906-124742,7cfda8cdc7345f93,2.2387211386e-01,1.0000000000e-05,4.662989091380e-01,2.206255e-09,False
20260906-124742,7cfda8cdc7345f93,2.5118864315e-01,1.0000000000e-05,4.662987625744e-01,1.427583e-09,False
20260906-124742,7cfda8cdc7345f93,2.8183829313e-01,1.0000000000e-05,4.662986064887e-01,2.512845e-09,False
20260906-124742,7cfda8cdc7345f93,3.1622776602e-01,1.0000000000e-05,4.662984411995e-01,3.269300e-09,False
20260906-124742,7cfda8cdc7345f93,3.5481338923e-01,1.0000000000e-05,4.662982658124e-01,4.873702e-09,False
