run_id,solver_hash,model,bc_phason,Omega,k,V,r,status,delta_pen
20260906-125819,7cfda8cdc7345f93,A,free,1.0000000000e-03,3.218260250370e-03,3.107268903703e-01,1.977535e-11,accepted,1.989427e+03
20260906-125819,7cfda8cdc7345f93,A,free,1.1220184543e-03,3.610947392760e-03,3.107268902759e-01,2.248500e-11,accepted,1.773078e+03
20260906-125819,7cfda8cdc7345f93,A,free,1.2589254118e-03,4.051549613494e-03,3.107268901758e-01,2.560686e-11,accepted,1.580258e+03
20260906-125819,7cfda8cdc7345f93,A,free,1.4125375446e-03,4.545913436411e-03,3.107268900699e-01,2.920989e-11,accepted,1.408406e+03
20260906-125819,7cfda8cdc7345f93,A,free,1.5848931925e-03,5.100598769155e-03,3.107268899576e-01,3.337558e-11,accepted,1.255243e+03
20260906-125819,7cfda8cdc7345f93,A,free,1.7782794100e-03,5.722965949171e-03,3.107268898387e-01,3.820018e-11,accepted,1.118737e+03
20260906-125819,7cfda8cdc7345f93,A,free,1.9952623150e-03,6.421273410914e-03,3.107268897128e-01,4.379754e-11,accepted,9.970752e+02
20260906-125819,7cfda8cdc7345f93,A,free,2.2387211386e-03,7.204787270257e-03,3.107268895794e-01,5.030242e-11,accepted,8.886442e+02
20260906-125819,7cfda8cdc7345f93,A,free,2.5118864315e-03,8.083904280167e-03,3.107268894403e-01,5.786791e-11,accepted,7.920049e+02
20260906-125819,7cfda8cdc7345f93,A,free,2.8183829313e-03,9.070289789424e-03,3.107268892942e-01,6.668532e-11,accepted,7.058751e+02
20260906-125819,7cfda8cdc7345f93,A,free,3.1622776602e-03,1.017703253467e-02,3.107268891395e-01,7.698130e-11,accepted,6.291119e+02
20260906-125819,7cfda8cdc7345f93,A,free,3.5481338923e-03,1.141881831994e-02,3.107268889758e-01,8.902118e-11,accepted,5.606965e+02
20260906-125819,7cfda8cdc7345f93,A,free,3.9810717055e-03,1.281212488845e-02,3.107268888024e-01,1.031194e-10,resolved_min,4.997213e+02
20260906-125819,7cfda8cdc7345f93,A,free,4.4668359215e-03,1.437544057215e-02,3.107268886189e-01,1.196490e-10,resolved_min,4.453771e+02
20260906-125819,7cfda8cdc7345f93,A,free,5.0118723363e-03,1.612950962076e-02,3.107268884246e-01,1.390519e-10,resolved_min,3.969427e+02
20260906-125819,7cfda8cdc7345f93,A,free,5.6234132519e-03,1.809760746531e-02,3.107268882189e-01,1.618526e-10,resolved_min,3.537756e+02
