Omega,dV_over_V_A,dPen_A,dV_over_V_C,dPen_C
1.0000000000e-03,7.481521e-02,6.441639e-01,2.241071e-09,1.720556e-08
1.1220184543e-03,2.585183e-01,8.299128e-01,4.075670e-10,3.129049e-09
1.2589254118e-03,4.057456e-01,8.853577e-01,9.346504e-11,7.175670e-10
1.4125375446e-03,7.481521e-02,6.441639e-01,7.254729e-10,5.569731e-09
1.5848931925e-03,2.585183e-01,8.299128e-01,5.044884e-10,3.873148e-09
1.7782794100e-03,4.057456e-01,8.853577e-01,5.089394e-11,3.907322e-10
1.9952623150e-03,7.481521e-02,6.441639e-01,2.040919e-09,1.566890e-08
2.2387211386e-03,2.585183e-01,8.299128e-01,2.217631e-10,1.702557e-09
2.5118864315e-03,4.057456e-01,8.853577e-01,1.209009e-10,9.282010e-10
2.8183829313e-03,7.481521e-02,6.441639e-01,3.204104e-11,2.459904e-10
3.1622776602e-03,2.585183e-01,8.299128e-01,5.403141e-10,4.148185e-09
3.5481338923e-03,4.057456e-01,8.853577e-01,7.247780e-10,5.564377e-09
3.9810717055e-03,7.481521e-02,6.441638e-01,3.280404e-09,2.518481e-08
4.4668359215e-03,2.585183e-01,8.299128e-01,1.838804e-10,1.411714e-09
5.0118723363e-03,4.057456e-01,8.853577e-01,1.264960e-09,9.711533e-09
5.6234132519e-03,7.481521e-02,6.441638e-01,8.645034e-10,6.637084e-09
6.3095734448e-03,2.585183e-01,8.299128e-01,1.036696e-09,7.959060e-09
7.0794578438e-03,4.057456e-01,8.853577e-01,2.099871e-09,1.612139e-08
7.9432823472e-03,7.481521e-02,6.441638e-01,5.910431e-10,4.537627e-09
8.9125093813e-03,2.585183e-01,8.299127e-01,8.761671e-10,6.726611e-09
1.0000000000e-02,4.057456e-01,8.853577e-01,6.224106e-11,4.778437e-10
1.1220184543e-02,7.481520e-02,6.441637e-01,8.609821e-10,6.610019e-09
1.2589254118e-02,7.481520e-02,6.441637e-01,2.547904e-10,1.956101e-09
1.4125375446e-02,7.481520e-02,6.441637e-01,3.454351e-10,2.652003e-09
1.5848931925e-02,7.481520e-02,6.441637e-01,9.207003e-11,7.068471e-10
1.7782794100e-02,7.481520e-02,6.441637e-01,4.785155e-10,3.673693e-09
1.9952623150e-02,7.481520e-02,6.441637e-01,1.181730e-09,9.072444e-09
2.2387211386e-02,7.481520e-02,6.441636e-01,1.124725e-09,8.634799e-09
2.5118864315e-02,7.481520e-02,6.441636e-01,4.683113e-10,3.595339e-09
2.8183829313e-02,7.481519e-02,6.441636e-01,1.413608e-10,1.085259e-09
3.1622776602e-02,7.481519e-02,6.441636e-01,1.079901e-11,8.290579e-11
3.5481338923e-02,7.481519e-02,6.441635e-01,8.178453e-12,6.278778e-11
3.9810717055e-02,7.481519e-02,6.441635e-01,1.332874e-11,1.023282e-10
4.4668359215e-02,7.481519e-02,6.441635e-01,1.984447e-10,1.523496e-09
5.0118723363e-02,7.481519e-02,6.441635e-01,1.270520e-10,9.753992e-10
5.6234132519e-02,7.481518e-02,6.441634e-01,2.569738e-11,1.972817e-10
6.3095734448e-02,7.481518e-02,6.441634e-01,3.997790e-11,3.069166e-10
7.0794578438e-02,7.481518e-02,6.441634e-01,2.011904e-09,1.544562e-08
7.9432823472e-02,7.481518e-02,6.441633e-01,5.258596e-11,4.037074e-10
8.9125093813e-02,7.481517e-02,6.441633e-01,8.822026e-12,6.772714e-11
1.0000000000e-01,7.481517e-02,6.441632e-01,2.913545e-11,2.236746e-10
1.1220184543e-01,7.481517e-02,6.441632e-01,9.483450e-12,7.280475e-11
1.2589254118e-01,7.481517e-02,6.441632e-01,1.922107e-11,1.475605e-10
1.4125375446e-01,7.481516e-02,6.441631e-01,1.173608e-09,9.009775e-09
1.5848931925e-01,7.481516e-02,6.441631e-01,1.085932e-09,8.336663e-09
1.7782794100e-01,7.481516e-02,6.441630e-01,8.541560e-10,6.557301e-09
1.9952623150e-01,7.481515e-02,6.441629e-01,4.689374e-10,3.599990e-09
2.2387211386e-01,7.481515e-02,6.441629e-01,1.555108e-10,1.193836e-09
2.5118864315e-01,7.481514e-02,6.441628e-01,1.605152e-09,1.232250e-08
2.8183829313e-01,7.481514e-02,6.441627e-01,5.004826e-10,3.842110e-09
3.1622776602e-01,7.481513e-02,6.441627e-01,5.594333e-10,4.294643e-09
3.5481338923e-01,7.481513e-02,6.441626e-01,1.413697e-09,1.085258e-08
3.9810717055e-01,7.481512e-02,6.441625e-01,6.630354e-11,5.089923e-10
4.4668359215e-01,7.481512e-02,6.441624e-01,3.534397e-10,2.713233e-09
5.0118723363e-01,7.481511e-02,6.441623e-01,6.256928e-10,4.803197e-09
5.6234132519e-01,7.481511e-02,6.441622e-01,5.423861e-11,4.163646e-10
6.3095734448e-01,7.481510e-02,6.441621e-01,1.225735e-10,9.409357e-10
7.0794578438e-01,7.481509e-02,6.441620e-01,6.601915e-10,5.067929e-09
7.9432823472e-01,7.481509e-02,6.441619e-01,4.674022e-10,3.587964e-09
8.9125093813e-01,7.481508e-02,6.441618e-01,2.575411e-10,1.976972e-09
1.0000000000e+00,7.481507e-02,6.441616e-01,4.830908e-10,3.708336e-09
1.1220184543e+00,7.481506e-02,6.441615e-01,5.618179e-10,4.312629e-09
1.2589254118e+00,7.481505e-02,6.441613e-01,1.374670e-09,1.055215e-08
1.4125375446e+00,7.481504e-02,6.441612e-01,4.881910e-10,3.747382e-09
1.5848931925e+00,7.481503e-02,6.441610e-01,6.520517e-10,5.005133e-09
1.7782794100e+00,7.481502e-02,6.441608e-01,1.000905e-09,7.682839e-09
1.9952623150e+00,7.481501e-02,6.441606e-01,1.136146e-09,8.720829e-09
2.2387211386e+00,7.481499e-02,6.441605e-01,1.336405e-09,1.025785e-08
2.5118864315e+00,7.481498e-02,6.441602e-01,1.533993e-09,1.177432e-08
2.8183829313e+00,7.481497e-02,6.441600e-01,1.791146e-09,1.374794e-08
3.1622776602e+00,7.481495e-02,6.441598e-01,2.064761e-09,1.584785e-08
