run_id,solver_hash,model,Omega,root_index,Re_p,Im_p,admissible,grazing,root_residual
20260906-124736,7cfda8cdc7345f93,A,1.000000e-01,0,4.382576287608e+00,4.385230330428e+00,1,0,3.383e-19
20260906-124736,7cfda8cdc7345f93,A,1.000000e-01,1,-4.382576287608e+00,-4.385230330428e+00,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e-01,2,2.470735640743e-01,3.633259861045e-25,0,1,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e-01,3,-1.697041797219e-08,-1.733661432881e-01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e-01,4,1.697041797219e-08,1.733661432881e-01,1,0,2.180e-17
20260906-124736,7cfda8cdc7345f93,A,1.000000e-01,5,-2.470735640743e-01,3.723085513675e-25,0,1,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e-01,6,5.214238680290e-21,1.283911678191e-02,1,0,8.425e-19
20260906-124736,7cfda8cdc7345f93,A,1.000000e-01,7,-1.564271680681e-21,-1.283911678191e-02,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e-01,8,2.316184622153e-02,3.767516499609e-08,1,0,5.193e-20
20260906-124736,7cfda8cdc7345f93,A,1.000000e-01,9,-2.316184622153e-02,-3.767516499609e-08,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+01,0,-4.253263359988e+01,-4.518546521633e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+01,1,4.253263359988e+01,4.518546521633e+01,1,0,1.739e-19
20260906-124736,7cfda8cdc7345f93,A,1.000000e+01,2,-2.470735640743e+01,4.276612748921e-22,0,1,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+01,3,-1.696515753165e-04,-1.733661732341e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+01,4,1.696515753165e-04,1.733661732341e+01,1,0,4.467e-17
20260906-124736,7cfda8cdc7345f93,A,1.000000e+01,5,2.470735640743e+01,4.277922167756e-22,0,1,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+01,6,5.482610474418e-21,1.283911678191e+00,1,0,2.104e-18
20260906-124736,7cfda8cdc7345f93,A,1.000000e+01,7,-1.107080335865e-20,-1.283911678191e+00,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+01,8,2.316207888433e+00,3.753093435323e-04,1,0,1.249e-18
20260906-124736,7cfda8cdc7345f93,A,1.000000e+01,9,-2.316207888433e+00,-3.753093435323e-04,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+03,0,-2.470735640743e+03,-3.799336528929e-20,0,1,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+03,1,2.470735640743e+03,-3.809359570198e-20,0,1,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+03,2,-4.091722072385e-01,-1.734389123843e+03,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+03,3,-1.251461471864e+02,-1.529845139946e+03,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+03,4,4.091722072384e-01,1.734389123843e+03,1,0,1.652e-18
20260906-124736,7cfda8cdc7345f93,A,1.000000e+03,5,1.251461471864e+02,1.529845139946e+03,1,0,1.228e-19
20260906-124736,7cfda8cdc7345f93,A,1.000000e+03,6,1.066762508164e-18,1.283911678191e+02,1,0,2.148e-17
20260906-124736,7cfda8cdc7345f93,A,1.000000e+03,7,8.534748942569e-19,-1.283911678191e+02,0,0,NaN
20260906-124736,7cfda8cdc7345f93,A,1.000000e+03,8,2.322106725283e+02,9.549851507205e-02,1,0,2.283e-17
20260906-124736,7cfda8cdc7345f93,A,1.000000e+03,9,-2.322106725283e+02,-9.549851507205e-02,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e-01,0,7.595914834177e+01,7.595940998477e+01,1,0,1.202e-17
20260906-124736,7cfda8cdc7345f93,B,1.000000e-01,1,-7.595914834177e+01,-7.595940998477e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e-01,2,4.813156424657e+01,4.813197871907e+01,1,0,3.336e-17
20260906-124736,7cfda8cdc7345f93,B,1.000000e-01,3,-4.813156424657e+01,-4.813197871907e+01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e-01,4,4.382524832955e+00,4.385179112514e+00,1,0,4.631e-22
20260906-124736,7cfda8cdc7345f93,B,1.000000e-01,5,-4.382524832955e+00,-4.385179112514e+00,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e-01,6,-1.784824564223e-08,-1.732714467779e-01,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e-01,7,1.784824564223e-08,1.732714467779e-01,1,0,4.279e-17
20260906-124736,7cfda8cdc7345f93,B,1.000000e-01,8,2.088100254340e-05,2.088093066566e-05,1,0,1.332e-21
20260906-124736,7cfda8cdc7345f93,B,1.000000e-01,9,-2.088100257498e-05,-2.088093063230e-05,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e+01,0,7.594619811108e+02,7.597236241093e+02,1,0,7.943e-18
20260906-124736,7cfda8cdc7345f93,B,1.000000e+01,1,-7.594619811108e+02,-7.597236241093e+02,0,0,NaN
20260906-124736,7cfda8cdc7345f93,B,1.000000e+01,2,4.811105230909e+02,4.815249955545e+02,1,0,1.933e-17
20260906-124736,7cfda8cdc7345f93,B,1.000000e+01,3,-4.811105230909e+02,-4.815249955545e+02,0,0,NaN
