run_id,solver_hash,model,bc_phason,bc_thermal,Omega,k,V,r,status,n_ad,n_grazing,condB,jump,root_flags,max_root_res,k_comp,r_comp,P_w,delta_pen,delta_pen_weighted,rel_xtol,n_scan
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.0000000000e-03,3.218260250370e-03,3.107268903703e-01,1.977535e-11,accepted,5,0,5.056801e+10,0,0,2.075e-17,3.218260250370e-03,1.977535e-11,9.909513e-01,1.989427e+03,1.320748e+03,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.1220184543e-03,3.610947392760e-03,3.107268902759e-01,2.248500e-11,accepted,5,0,4.447409e+10,0,0,3.647e-17,3.610947392760e-03,2.248500e-11,9.909513e-01,1.773078e+03,1.177118e+03,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.2589254118e-03,4.051549613494e-03,3.107268901758e-01,2.560686e-11,accepted,5,0,3.905203e+10,0,0,1.319e-17,4.051549613494e-03,2.560686e-11,9.909513e-01,1.580258e+03,1.049107e+03,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.4125375446e-03,4.545913436411e-03,3.107268900699e-01,2.920989e-11,accepted,5,0,3.423497e+10,0,0,1.907e-17,4.545913436411e-03,2.920989e-11,9.909513e-01,1.408406e+03,9.350179e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.5848931925e-03,5.100598769155e-03,3.107268899576e-01,3.337558e-11,accepted,5,0,2.996202e+10,0,0,1.641e-17,5.100598769155e-03,3.337558e-11,9.909513e-01,1.255243e+03,8.333355e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.7782794100e-03,5.722965949171e-03,3.107268898387e-01,3.820018e-11,accepted,5,0,2.617789e+10,0,0,4.283e-17,5.722965949171e-03,3.820018e-11,9.909513e-01,1.118737e+03,7.427109e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.9952623150e-03,6.421273410914e-03,3.107268897128e-01,4.379754e-11,accepted,5,0,2.283233e+10,0,0,2.254e-17,6.421273410914e-03,4.379754e-11,9.909513e-01,9.970752e+02,6.619417e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.2387211386e-03,7.204787270257e-03,3.107268895794e-01,5.030242e-11,accepted,5,0,1.987976e+10,0,0,4.608e-18,7.204787270257e-03,5.030242e-11,9.909513e-01,8.886442e+02,5.899561e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.5118864315e-03,8.083904280167e-03,3.107268894403e-01,5.786791e-11,accepted,5,0,1.728073e+10,0,0,2.304e-17,8.083904280224e-03,5.787437e-11,9.909513e-01,7.920049e+02,5.257988e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,2.8183829313e-03,9.070289789424e-03,3.107268892942e-01,6.668532e-11,accepted,5,0,1.499580e+10,0,0,8.960e-17,9.070289789591e-03,6.670237e-11,9.909513e-01,7.058751e+02,4.686186e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.1622776602e-03,1.017703253467e-02,3.107268891395e-01,7.698130e-11,accepted,5,0,1.299017e+10,0,0,1.128e-17,1.017703253498e-02,7.701042e-11,9.909513e-01,6.291119e+02,4.176567e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.5481338923e-03,1.141881831994e-02,3.107268889758e-01,8.902118e-11,accepted,5,0,1.123328e+10,0,0,3.409e-17,1.141881832045e-02,8.906393e-11,9.909513e-01,5.606965e+02,3.722369e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,3.9810717055e-03,1.281212488845e-02,3.107268888024e-01,1.031194e-10,resolved_min,5,0,9.697493e+09,0,0,2.631e-17,1.281212488920e-02,1.031776e-10,9.909513e-01,4.997213e+02,3.317564e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,4.4668359215e-03,1.437544057215e-02,3.107268886189e-01,1.196490e-10,resolved_min,5,0,8.357783e+09,0,0,3.650e-17,1.437544057322e-02,1.197245e-10,9.909512e-01,4.453771e+02,2.956781e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,5.0118723363e-03,1.612950962076e-02,3.107268884246e-01,1.390519e-10,resolved_min,5,0,7.191558e+09,0,0,8.464e-18,1.612950962224e-02,1.391469e-10,9.909512e-01,3.969427e+02,2.635233e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,5.6234132519e-03,1.809760746531e-02,3.107268882189e-01,1.618526e-10,resolved_min,5,0,6.178460e+09,0,0,3.382e-17,1.809760746731e-02,1.619695e-10,9.909512e-01,3.537756e+02,2.348654e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,6.3095734448e-03,2.030584956902e-02,3.107268880012e-01,1.886728e-10,resolved_min,5,0,5.300181e+09,0,0,5.578e-17,2.030584957167e-02,1.888141e-10,9.909512e-01,3.153028e+02,2.093239e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,7.0794578438e-03,2.278353796363e-02,3.107268877705e-01,2.202497e-10,resolved_min,5,0,4.540300e+09,0,0,5.498e-17,2.278353796709e-02,2.204181e-10,9.909512e-01,2.810139e+02,1.865601e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,7.9432823472e-03,2.556355006958e-02,3.107268875263e-01,2.574576e-10,resolved_min,5,0,3.884135e+09,0,0,3.766e-17,2.556355007404e-02,2.576559e-10,9.909512e-01,2.504539e+02,1.662718e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,8.9125093813e-03,2.868277495942e-02,3.107268872676e-01,3.013329e-10,resolved_min,5,0,3.318589e+09,0,0,4.872e-17,2.868277496512e-02,3.015641e-10,9.909512e-01,2.232173e+02,1.481898e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.0000000000e-02,3.218260285343e-02,3.107268869936e-01,3.531045e-10,resolved_min,5,0,2.832023e+09,0,0,3.880e-17,3.218260286066e-02,3.533718e-10,9.909512e-01,1.989426e+02,1.320743e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.1220184543e-02,3.610947434275e-02,3.107268867034e-01,4.142294e-10,resolved_min,5,0,2.414121e+09,0,0,1.698e-17,3.610947435185e-02,4.145358e-10,9.909511e-01,1.773078e+02,1.177113e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.2589254118e-02,4.051549662781e-02,3.107268863958e-01,4.864344e-10,resolved_min,5,0,2.055776e+09,0,0,1.538e-17,4.051549663919e-02,4.867830e-10,9.909511e-01,1.580257e+02,1.049103e+02,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.4125375446e-02,4.545913494929e-02,3.107268860700e-01,5.717665e-10,resolved_min,5,0,1.748966e+09,0,0,1.172e-16,4.545913496342e-02,5.721603e-10,9.909511e-01,1.408405e+02,9.350132e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.5848931925e-02,5.100598838640e-02,3.107268857246e-01,6.726518e-10,resolved_min,5,0,1.486653e+09,0,0,7.034e-17,5.100598840386e-02,6.730935e-10,9.909511e-01,1.255243e+02,8.333310e+01,1e-15,160
20260906-170036,8c0abbabe66776dd,A,free,isothermal,1.7782794100e-02,5.722966031688e-02,3.107268853585e-01,7.919649e-10,resolved_min,5,0,1.262682e+09,0,0,9.177e-18,5.722966033833e-02,7.924569e-10,9.909511e-01,1.118736e+02,7.427067e+01,1e-15,160
