run_id,solver_hash,model,i_Dw,Dw,Omega,k,V,r,status,jump
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.0000000000e-03,2.144549053166e-03,4.662984968908e-01,2.248791e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.2115276586e-03,2.598187663841e-03,4.662972099704e-01,3.077875e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.4677992676e-03,3.147788885331e-03,4.662953333567e-01,4.227154e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.7782794100e-03,3.813655648809e-03,4.662926005378e-01,5.825896e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,2.1544346900e-03,4.620388719855e-03,4.662886221616e-01,8.056587e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,2.6101572157e-03,5.597798121113e-03,4.662828417906e-01,1.117582e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,3.1622776602e-03,6.782008985989e-03,4.662744721662e-01,1.554155e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,3.8311868496e-03,8.216804036535e-03,4.662624096330e-01,2.164636e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,4.6415888336e-03,9.955253931283e-03,4.662451471004e-01,3.015346e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,5.6234132519e-03,1.206169811079e-02,4.662206929946e-01,4.192566e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,6.8129206906e-03,1.461415103118e-02,4.661865527489e-01,5.802615e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,8.2540418527e-03,1.770722217648e-02,4.661398479341e-01,7.965415e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.0000000000e-02,2.145564946516e-02,4.660777114315e-01,1.079644e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.2115276586e-02,2.599855604335e-02,4.659980564338e-01,1.437291e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.4677992676e-02,3.150455331711e-02,4.659006756414e-01,1.868685e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.7782794100e-02,3.817784233618e-02,4.657883476966e-01,2.360134e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,2.1544346900e-02,4.626554836123e-02,4.656671684102e-01,2.883999e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,2.6101572157e-02,5.606663333930e-02,4.655455589578e-01,3.403390e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,3.1622776602e-02,6.794283976011e-02,4.654320707426e-01,3.881611e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,3.8311868496e-02,8.233213379385e-02,4.653331175833e-01,4.291569e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,4.6415888336e-02,9.976508897745e-02,4.652518111483e-01,4.620232e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,5.6234132519e-02,1.208846968215e-01,4.651881834311e-01,4.867111e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,6.8129206906e-02,1.464702463695e-01,4.651402492620e-01,5.039342e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,8.2540418527e-02,1.774661468075e-01,4.651051482868e-01,5.146554e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.0000000000e-01,2.150167887071e-01,4.650799623663e-01,5.197220e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.2115276586e-01,2.605087710225e-01,4.650621373988e-01,5.196705e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.4677992676e-01,3.156220707011e-01,4.650496286149e-01,5.146677e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.7782794100e-01,3.823920581821e-01,4.650408846076e-01,5.045563e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,2.1544346900e-01,4.632846472159e-01,4.650347692242e-01,4.889982e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,2.6101572157e-01,5.612873534387e-01,4.650304696322e-01,4.677120e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,3.1622776602e-01,6.800196221665e-01,4.650274134875e-01,4.407699e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,3.8311868496e-01,8.238664988350e-01,4.650252018956e-01,4.088550e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,4.6415888336e-01,9.981405762929e-01,4.650235591916e-01,3.733369e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,5.6234132519e-01,1.209278203382e+00,4.650222948016e-01,3.360803e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,6.8129206906e-01,1.465077195985e+00,4.650212773259e-01,2.990372e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,8.2540418527e-01,1.774984836483e+00,4.650204149932e-01,2.636112e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.0000000000e+00,2.150446809835e+00,4.650196393729e-01,2.177248e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.2115276586e+00,2.605329853171e+00,4.650189138829e-01,1.593237e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.4677992676e+00,3.156434020880e+00,4.650182002577e-01,1.165464e-05,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.7782794100e+00,3.824113095243e+00,4.650174735290e-01,8.589169e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,2.1544346900e+00,4.633026341632e+00,4.650167150298e-01,6.398164e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,2.6101572157e+00,5.613049272754e+00,4.650159100424e-01,4.828500e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,3.1622776602e+00,6.800377071122e+00,4.650150465328e-01,3.697076e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,3.8311868496e+00,8.238861428066e+00,4.650141142690e-01,2.873797e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,4.6415888336e+00,9.981630174356e+00,4.650131043262e-01,2.267235e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,5.6234132519e+00,1.209304952500e+01,4.650120087804e-01,1.813568e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,6.8129206906e+00,1.465110141155e+01,4.650108206341e-01,1.468407e-06,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,8.2540418527e+00,1.775026370571e+01,4.650095339160e-01,1.200926e-06,resolved_min,0
