# V3 model-limit raw data: V*(Omega) per configuration (production route, continuation, bc free/isothermal)
Omega,V_A,r_A,status_A,V_B,r_B,status_B,V_C,r_C,status_C,V_C_Dw0,r_C_Dw0,status_C_Dw0,V_C_Dw14,r_C_Dw14,status_C_Dw14,V_C_rhow0,r_C_rhow0,status_C_rhow0
1.0000000000e-03,3.107268903703e-01,1.977535e-11,accepted,4.663012299753e-01,1.958188e-10,resolved_min,4.663012289797e-01,1.958333e-10,resolved_min,3.010727438696e-01,1.120234e-04,resolved_min,3.107268906909e-01,2.331800e-10,resolved_min,4.663012289802e-01,1.958214e-10,resolved_min
1.1220184543e-03,3.107268902759e-01,2.248500e-11,accepted,4.663012196115e-01,2.197294e-10,resolved_min,4.663012201077e-01,2.197304e-10,resolved_min,3.027052313922e-01,1.143498e-04,resolved_min,3.107268905850e-01,2.271719e-10,resolved_min,4.663012202869e-01,2.197318e-10,resolved_min
1.2589254118e-03,3.107268901758e-01,2.560686e-11,accepted,4.663012096130e-01,2.464208e-10,resolved_min,4.663012097274e-01,2.464164e-10,resolved_min,3.040251778080e-01,1.163156e-04,resolved_min,3.107268904731e-01,2.221987e-10,resolved_min,4.663012087466e-01,2.464089e-10,resolved_min
1.4125375446e-03,3.107268900699e-01,2.920989e-11,accepted,4.663011986695e-01,2.764545e-10,resolved_min,4.663011987111e-01,2.764663e-10,resolved_min,3.051062597908e-01,1.179928e-04,resolved_min,3.107268903554e-01,2.182953e-10,resolved_min,4.663011985873e-01,2.764707e-10,resolved_min
1.5848931925e-03,3.107268899576e-01,3.337558e-11,accepted,4.663011869301e-01,3.101078e-10,resolved_min,4.663011869600e-01,3.101009e-10,resolved_min,3.059991676594e-01,1.194220e-04,resolved_min,3.107268902355e-01,2.155103e-10,resolved_min,4.663011866172e-01,3.101032e-10,resolved_min
1.7782794100e-03,3.107268898387e-01,3.820018e-11,accepted,4.663011743236e-01,3.478559e-10,resolved_min,4.663011746471e-01,3.478501e-10,resolved_min,3.067416988840e-01,1.206292e-04,resolved_min,3.107268901297e-01,2.139069e-10,resolved_min,4.663011743794e-01,3.478593e-10,resolved_min
1.9952623150e-03,3.107268897128e-01,4.379754e-11,accepted,4.663011612777e-01,3.902337e-10,resolved_min,4.663011620916e-01,3.902399e-10,resolved_min,3.073628775591e-01,1.216329e-04,resolved_min,3.107268900169e-01,2.135699e-10,resolved_min,4.663011611789e-01,3.902242e-10,resolved_min
2.2387211386e-03,3.107268895794e-01,5.030242e-11,accepted,4.663011473663e-01,4.377148e-10,resolved_min,4.663011476064e-01,4.377111e-10,resolved_min,3.078852788846e-01,1.224468e-04,resolved_min,3.107268898962e-01,2.146047e-10,resolved_min,4.663011485986e-01,4.377178e-10,resolved_min
2.5118864315e-03,3.107268894403e-01,5.786791e-11,accepted,4.663011328337e-01,4.909851e-10,resolved_min,4.663011330010e-01,4.910006e-10,resolved_min,3.083266172442e-01,1.230822e-04,resolved_min,3.107268897667e-01,2.171428e-10,resolved_min,4.663011325081e-01,4.910238e-10,resolved_min
2.8183829313e-03,3.107268892942e-01,6.668532e-11,accepted,4.663011172520e-01,5.507334e-10,resolved_min,4.663011174393e-01,5.507235e-10,resolved_min,3.087008837045e-01,1.235485e-04,resolved_min,3.107268896277e-01,2.213459e-10,resolved_min,4.663011171989e-01,5.507229e-10,resolved_min
3.1622776602e-03,3.107268891395e-01,7.698130e-11,accepted,4.663011006866e-01,6.177110e-10,resolved_min,4.663011006789e-01,6.177199e-10,resolved_min,3.090191956688e-01,1.238544e-04,resolved_min,3.107268894785e-01,2.274115e-10,resolved_min,4.663011006708e-01,6.177131e-10,resolved_min
3.5481338923e-03,3.107268889758e-01,8.902118e-11,accepted,4.663010837327e-01,6.928362e-10,resolved_min,4.663010834102e-01,6.928777e-10,resolved_min,3.092904458915e-01,1.240083e-04,resolved_min,3.107268893185e-01,2.355798e-10,resolved_min,4.663010830863e-01,6.928386e-10,resolved_min
3.9810717055e-03,3.107268888024e-01,1.031194e-10,resolved_min,4.663010646518e-01,7.771088e-10,resolved_min,4.663010661363e-01,7.770909e-10,resolved_min,3.095218022585e-01,1.240195e-04,resolved_min,3.107268891471e-01,2.461410e-10,resolved_min,4.663010651013e-01,7.770895e-10,resolved_min
4.4668359215e-03,3.107268886189e-01,1.196490e-10,resolved_min,4.663010449497e-01,8.715588e-10,resolved_min,4.663010449064e-01,8.715805e-10,resolved_min,3.097190922468e-01,1.238980e-04,resolved_min,3.107268889637e-01,2.594447e-10,resolved_min,4.663010450509e-01,8.715720e-10,resolved_min
5.0118723363e-03,3.107268884246e-01,1.390519e-10,resolved_min,4.663010246515e-01,9.774940e-10,resolved_min,4.663010246629e-01,9.774793e-10,resolved_min,3.098871119803e-01,1.236553e-04,resolved_min,3.107268887679e-01,2.759107e-10,resolved_min,4.663010240519e-01,9.774900e-10,resolved_min
5.6234132519e-03,3.107268882189e-01,1.618526e-10,resolved_min,4.663010020142e-01,1.096265e-09,resolved_min,4.663010025608e-01,1.096280e-09,resolved_min,3.100298645418e-01,1.233042e-04,resolved_min,3.107268884457e-01,2.960422e-10,resolved_min,4.663010019976e-01,1.096263e-09,resolved_min
6.3095734448e-03,3.107268880012e-01,1.886728e-10,resolved_min,4.663009787482e-01,1.229441e-09,resolved_min,4.663009781475e-01,1.229441e-09,resolved_min,3.101507424118e-01,1.228594e-04,resolved_min,3.107268882208e-01,3.204385e-10,resolved_min,4.663009802711e-01,1.229437e-09,resolved_min
7.0794578438e-03,3.107268877705e-01,2.202497e-10,resolved_min,4.663009534139e-01,1.378778e-09,resolved_min,4.663009534110e-01,1.378779e-09,resolved_min,3.102526670354e-01,1.223364e-04,resolved_min,3.107268879821e-01,3.498197e-10,resolved_min,4.663009538943e-01,1.378765e-09,resolved_min
7.9432823472e-03,3.107268875263e-01,2.574576e-10,resolved_min,4.663009276937e-01,1.546176e-09,resolved_min,4.663009274165e-01,1.546161e-09,resolved_min,3.103381946800e-01,1.217515e-04,resolved_min,3.107268877288e-01,3.850418e-10,resolved_min,4.663009277475e-01,1.546177e-09,resolved_min
8.9125093813e-03,3.107268872676e-01,3.013329e-10,resolved_min,4.663008997578e-01,1.733863e-09,resolved_min,4.663008996152e-01,1.733871e-09,resolved_min,3.104095852480e-01,1.211210e-04,resolved_min,3.107268874602e-01,4.271244e-10,resolved_min,4.663008996764e-01,1.733852e-09,resolved_min
1.0000000000e-02,3.107268869936e-01,3.531045e-10,resolved_min,4.663008705826e-01,1.944220e-09,resolved_min,4.663008705877e-01,1.944219e-09,resolved_min,3.104688499090e-01,1.204607e-04,resolved_min,3.107268871753e-01,4.772803e-10,resolved_min,4.663008703151e-01,1.944223e-09,resolved_min
