case_id,case_name,Omega,cond_P_raw,cond_P_equil,cond_Tcell,eigenvalue_residual,is_finite,physical_result_affected,audit_note
S1_cons,Conservative Mechanical Baseline (beta->0),0.05,1.89e+12,22.72,4.53e+16,1.66e-14,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S1_cons,Conservative Mechanical Baseline (beta->0),0.5,1.23e+14,2.46,9.21e+15,6.81e-15,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S1_cons,Conservative Mechanical Baseline (beta->0),1.0,4.94e+14,1.35,2.86e+16,6.06e-15,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S1_cons,Conservative Mechanical Baseline (beta->0),1.5,1.11e+15,1.48,5.96e+15,7.92e-15,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S1_cons,Conservative Mechanical Baseline (beta->0),1.8,1.60e+15,1.73,2.79e+16,1.90e-14,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S1_dpl,Active DPL Baseline,0.05,4.07e+15,9.39,7.99e+16,3.99e-09,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S1_dpl,Active DPL Baseline,0.5,3.50e+18,2.81,5.54e+16,3.18e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S1_dpl,Active DPL Baseline,1.0,2.21e+19,2.61,1.66e+17,7.05e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S1_dpl,Active DPL Baseline,1.5,9.36e+19,2.56,6.79e+16,1.13e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S1_dpl,Active DPL Baseline,1.8,6.94e+19,2.55,9.71e+16,1.51e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S2_chi00_cons,Identical Layers Conservative,0.05,1.89e+12,22.72,1.79e+16,9.18e-16,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S2_chi00_cons,Identical Layers Conservative,0.5,1.23e+14,2.46,6.31e+16,1.87e-15,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S2_chi00_cons,Identical Layers Conservative,1.0,4.94e+14,1.35,2.20e+16,4.80e-15,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S2_chi00_cons,Identical Layers Conservative,1.5,1.11e+15,1.48,2.51e+16,2.30e-15,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S2_chi00_cons,Identical Layers Conservative,1.8,1.60e+15,1.73,3.73e+16,3.72e-15,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S2_chi00_dpl,Identical Layers DPL,0.05,4.07e+15,9.39,2.64e+17,4.86e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S2_chi00_dpl,Identical Layers DPL,0.5,3.50e+18,2.81,1.03e+17,2.57e-08,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S2_chi00_dpl,Identical Layers DPL,1.0,2.21e+19,2.61,5.33e+16,2.19e-08,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S2_chi00_dpl,Identical Layers DPL,1.5,9.36e+19,2.56,8.26e+16,7.84e-13,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S2_chi00_dpl,Identical Layers DPL,1.8,6.94e+19,2.55,1.07e+17,4.82e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_classical,"Classical Elastic Limit (c,d->0)",0.05,4.57e+17,4648.99,1.89e+17,2.11e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_classical,"Classical Elastic Limit (c,d->0)",0.5,3.22e+17,464.90,5.66e+17,1.91e-15,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_classical,"Classical Elastic Limit (c,d->0)",1.0,7.15e+17,232.45,1.39e+17,8.31e-16,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_classical,"Classical Elastic Limit (c,d->0)",1.5,1.21e+18,154.97,2.16e+17,4.80e-15,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_classical,"Classical Elastic Limit (c,d->0)",1.8,2.55e+18,129.15,6.01e+16,1.96e-15,True,False,Numerically stable; P_equil O(1-10); residual machine precision
