case_id,case_name,pass_alpha_min,pass_alpha_mean,pass_alpha_max,stop_alpha_peak
S1_cons,Conservative Mechanical Baseline (beta -> 0),2.081966152043446e-09,1.6660726424858213e-05,0.0003357058630399142,4.914552812075197
S1_dpl,Active DPL Thermoelastic Baseline,1.3419632570849959e-08,0.0002206394933732584,0.027681872870309016,4.914548407818542
S2_chi00_cons,"Identical Layers (chi=0.0, beta->0)",2.634065700076033e-10,5.530962964444407e-06,0.00047278032527650735,3.047083407292781
S2_chi00_dpl,"Identical Layers (chi=0.0, DPL)",2.1757555465658316e-10,0.0036610469158088704,0.044414976894113306,4.810148599363524
S2_chi05_cons,"Intermediate Contrast (chi=0.5, beta->0)",4.9857258872592276e-11,1.794130662024106e-05,0.0009349868706964615,3.3705823551808876
S2_chi05_dpl,"Intermediate Contrast (chi=0.5, DPL)",2.625943357662649e-08,0.0005699944034322972,0.04983942812666469,5.478418925893446
S2_chi10_cons,"Full Contrast Baseline (chi=1.0, beta->0)",2.081966152043446e-09,1.6660726424858213e-05,0.0003357058630399142,4.914552812075197
S2_chi10_dpl,"Full Contrast Baseline (chi=1.0, DPL)",1.3419632570849959e-08,0.0002206394933732584,0.027681872870309016,4.914548407818542
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),3.2176938065648112e-09,1.853758328020529e-06,3.076909171084004e-05,13.95375479176573
S3_c05,Baseline Micro-Stiffness (sqrt(c1)/a=0.5),1.3419632570849959e-08,0.0002206394933732584,0.027681872870309016,4.914548407818542
S3_c08,High Micro-Stiffness (sqrt(c1)/a=0.8),9.267651760639205e-08,0.00015117223767294026,0.022592306209766932,4.117857878633822
S3_classical,"Classical Elastic Limit (c, d -> 0)",5.287507951898537e-08,3.6181788338515146e-05,0.0017301311402921796,548.642788044931
S3_d01,Low Micro-Inertia (d1/a=0.1),7.88321468810786e-08,0.0001563368208165252,0.020962363716728064,5.850915691549147
S3_d05,Baseline Micro-Inertia (d1/a=0.5),1.3419632570849959e-08,0.0002206394933732584,0.027681872870309016,4.914548407818542
S3_d10,High Micro-Inertia (d1/a=1.0),1.7302556362189075e-07,0.0006815005585790819,0.04678350974512565,3.996554568152955
S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",1.028100539201998e-09,9.879249166746079e-06,0.0001844030681130251,4.6147133869151675
S4_eta02_dpl,"Asymmetric Filling (eta=0.2, DPL)",4.286944629479271e-09,1.2546438354531169e-05,7.894845019106413e-05,4.613221272580234
S4_eta05_cons,"Symmetric Baseline (eta=0.5, beta->0)",2.081966152043446e-09,1.6660726424858213e-05,0.0003357058630399142,4.914552812075197
S4_eta05_dpl,"Symmetric Baseline (eta=0.5, DPL)",1.3419632570849959e-08,0.0002206394933732584,0.027681872870309016,4.914548407818542
S4_eta08_cons,"Asymmetric Filling (eta=0.8, beta->0)",1.3476483347186895e-10,2.299322169185141e-05,0.0006792968220535868,4.153841684590443
S4_eta08_dpl,"Asymmetric Filling (eta=0.8, DPL)",1.7178776648893954e-08,1.4420660743511802e-05,0.00016335819467102857,4.252406052762365
S5_tauq_10ps,Baseline Relaxation Lag (tau_q=10ps),1.3419632570849959e-08,0.0002206394933732584,0.027681872870309016,4.914548407818542
S5_tauq_1ns,Extended Relaxation Lag (tau_q=1ns),1.6954233276117043e-08,0.00017018023024339908,0.021896763820638345,4.9145077630417955
S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),1.599835658164345e-09,1.692694819288546e-05,0.0002832516857297721,4.914557926231377
S5_tauth_01ps,Fast Retardation Lag (tau_theta=0.1ps),5.551182951590772e-09,1.9299864148341445e-05,0.00033553278350510534,4.914563400420002
S5_tauth_100ps,Extended Retardation Lag (tau_theta=100ps),2.2506828974852885e-08,1.9136481554933636e-05,0.00038891909068673085,4.914558176552173
S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),2.081966152043446e-09,1.6660726424858213e-05,0.0003357058630399142,4.914552812075197
S6_alpha05,Weak Thermoelastic Coupling (0.5x alpha_t),8.559940573568643e-08,4.9703989866455325e-05,0.004468549307912161,4.914490795401406
S6_alpha10,Baseline Active Coupling (1.0x alpha_t),1.3419632570849959e-08,0.0002206394933732584,0.027681872870309016,4.914548407818542
S6_alpha20,Strong Thermoelastic Coupling (2.0x alpha_t),5.399650083146585e-09,1.2585420828042966e-05,0.00023767331451365564,4.914519394652119
S7_case1,"Case I: Pure Mechanical Bragg (beta->0, base gradient, eta=0.5)",2.081966152043446e-09,1.6660726424858213e-05,0.0003357058630399142,4.914552812075197
S7_case2,"Case II: Baseline Active DPL (base gradient, eta=0.5)",1.3419632570849959e-08,0.0002206394933732584,0.027681872870309016,4.914548407818542
S7_case3,"Case III: Low Gradient + DPL (d1/a=0.1, sqrt(c1)/a=0.1, eta=0.5)",1.5998184303123384e-08,8.621704396631102e-06,0.00017324261916450788,14.121216756629904
S7_case4,"Case IV: High Gradient + DPL (d1/a=1.0, sqrt(c1)/a=0.8, eta=0.5)",1.910266089365161e-07,0.0011266923742060913,0.0420060543395567,3.4261049315052694
S7_case5,"Case V: Asymmetric Geometry + DPL (eta=0.2, base gradient)",4.286944629479271e-09,1.2546438354531169e-05,7.894845019106413e-05,4.613221272580234
S7_case6,"Case VI: High Thermal Lag + DPL (tau_q=1ns, base gradient, eta=0.5)",1.6954233276117043e-08,0.00017018023024339908,0.021896763820638345,4.9145077630417955
