case_id,case_name,gap_index,Omega_L,Omega_U,delta_Omega,Omega_mid,gap_to_midgap_ratio,is_boundary_truncated
S1_cons,Conservative Mechanical Baseline (beta -> 0),1,1.5702,1.6763,0.1061,1.6232,0.0653,False
S1_dpl,Active DPL Thermoelastic Baseline,1,0.6687,0.704,0.0354,0.6864,0.0515,False
S1_dpl,Active DPL Thermoelastic Baseline,2,1.3051,1.8,0.4949,1.5525,0.3188,True
S2_chi05_dpl,"Intermediate Contrast (chi=0.5, DPL)",1,0.9162,1.0045,0.0884,0.9604,0.092,False
S2_chi10_cons,"Full Contrast Baseline (chi=1.0, beta->0)",1,1.5702,1.6763,0.1061,1.6232,0.0653,False
S2_chi10_dpl,"Full Contrast Baseline (chi=1.0, DPL)",1,0.6687,0.704,0.0354,0.6864,0.0515,False
S2_chi10_dpl,"Full Contrast Baseline (chi=1.0, DPL)",2,1.3051,1.8,0.4949,1.5525,0.3188,True
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),1,0.2444,0.6157,0.3712,0.4301,0.8632,False
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),2,0.704,0.8101,0.1061,0.7571,0.1401,False
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),3,0.8808,1.0576,0.1768,0.9692,0.1824,False
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),4,1.252,1.5525,0.3005,1.4023,0.2143,False
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),5,1.5879,1.8,0.2121,1.6939,0.1252,True
S3_c05,Baseline Micro-Stiffness (sqrt(c1)/a=0.5),1,0.6687,0.704,0.0354,0.6864,0.0515,False
S3_c05,Baseline Micro-Stiffness (sqrt(c1)/a=0.5),2,1.3051,1.8,0.4949,1.5525,0.3188,True
S3_c08,High Micro-Stiffness (sqrt(c1)/a=0.8),1,0.8101,1.0399,0.2298,0.925,0.2484,False
S3_classical,"Classical Elastic Limit (c, d -> 0)",1,0.2091,0.7571,0.548,0.4831,1.1343,False
S3_classical,"Classical Elastic Limit (c, d -> 0)",2,0.8455,1.252,0.4066,1.0487,0.3877,False
S3_classical,"Classical Elastic Limit (c, d -> 0)",3,1.3934,1.5879,0.1944,1.4907,0.1304,False
S3_classical,"Classical Elastic Limit (c, d -> 0)",4,1.7116,1.8,0.0884,1.7558,0.0503,True
S3_d01,Low Micro-Inertia (d1/a=0.1),1,0.704,1.199,0.4949,0.9515,0.5202,False
S3_d05,Baseline Micro-Inertia (d1/a=0.5),1,0.6687,0.704,0.0354,0.6864,0.0515,False
S3_d05,Baseline Micro-Inertia (d1/a=0.5),2,1.3051,1.8,0.4949,1.5525,0.3188,True
S3_d10,High Micro-Inertia (d1/a=1.0),1,0.4035,0.6157,0.2121,0.5096,0.4163,False
S3_d10,High Micro-Inertia (d1/a=1.0),2,0.7217,0.7924,0.0707,0.7571,0.0934,False
S3_d10,High Micro-Inertia (d1/a=1.0),3,0.8101,1.2167,0.4066,1.0134,0.4012,False
S3_d10,High Micro-Inertia (d1/a=1.0),4,1.3758,1.8,0.4242,1.5879,0.2672,True
S4_eta02_cons,"Asymmetric Filling (eta=0.2, beta->0)",1,1.3051,1.7646,0.4596,1.5348,0.2994,False
S4_eta02_dpl,"Asymmetric Filling (eta=0.2, DPL)",1,0.5626,0.7394,0.1768,0.651,0.2715,False
S4_eta02_dpl,"Asymmetric Filling (eta=0.2, DPL)",2,1.199,1.8,0.601,1.4995,0.4008,True
S4_eta05_cons,"Symmetric Baseline (eta=0.5, beta->0)",1,1.5702,1.6763,0.1061,1.6232,0.0653,False
S4_eta05_dpl,"Symmetric Baseline (eta=0.5, DPL)",1,0.6687,0.704,0.0354,0.6864,0.0515,False
S4_eta05_dpl,"Symmetric Baseline (eta=0.5, DPL)",2,1.3051,1.8,0.4949,1.5525,0.3188,True
S4_eta08_cons,"Asymmetric Filling (eta=0.8, beta->0)",1,1.6232,1.8,0.1768,1.7116,0.1033,True
S4_eta08_dpl,"Asymmetric Filling (eta=0.8, DPL)",1,0.6687,0.9338,0.2652,0.8013,0.3309,False
S4_eta08_dpl,"Asymmetric Filling (eta=0.8, DPL)",2,1.6232,1.8,0.1768,1.7116,0.1033,True
S5_tauq_10ps,Baseline Relaxation Lag (tau_q=10ps),1,0.6687,0.704,0.0354,0.6864,0.0515,False
S5_tauq_10ps,Baseline Relaxation Lag (tau_q=10ps),2,1.3051,1.8,0.4949,1.5525,0.3188,True
S5_tauq_1ns,Extended Relaxation Lag (tau_q=1ns),1,0.6687,0.704,0.0354,0.6864,0.0515,False
S5_tauq_1ns,Extended Relaxation Lag (tau_q=1ns),2,1.3051,1.8,0.4949,1.5525,0.3188,True
S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),1,0.6687,0.704,0.0354,0.6864,0.0515,False
S5_tauq_1ps,Fast Relaxation Lag (tau_q=1ps),2,1.3051,1.8,0.4949,1.5525,0.3188,True
S5_tauth_01ps,Fast Retardation Lag (tau_theta=0.1ps),1,0.6687,0.704,0.0354,0.6864,0.0515,False
S5_tauth_01ps,Fast Retardation Lag (tau_theta=0.1ps),2,1.3051,1.8,0.4949,1.5525,0.3188,True
S5_tauth_100ps,Extended Retardation Lag (tau_theta=100ps),1,0.6687,0.704,0.0354,0.6864,0.0515,False
S5_tauth_100ps,Extended Retardation Lag (tau_theta=100ps),2,1.3051,1.8,0.4949,1.5525,0.3188,True
S6_alpha00,Uncoupled Mechanical Conservative Limit (beta->0),1,1.5702,1.6763,0.1061,1.6232,0.0653,False
S6_alpha05,Weak Thermoelastic Coupling (0.5x alpha_t),1,0.6687,0.704,0.0354,0.6864,0.0515,False
S6_alpha05,Weak Thermoelastic Coupling (0.5x alpha_t),2,1.3051,1.8,0.4949,1.5525,0.3188,True
S6_alpha10,Baseline Active Coupling (1.0x alpha_t),1,0.6687,0.704,0.0354,0.6864,0.0515,False
S6_alpha10,Baseline Active Coupling (1.0x alpha_t),2,1.3051,1.8,0.4949,1.5525,0.3188,True
S6_alpha20,Strong Thermoelastic Coupling (2.0x alpha_t),1,0.6687,0.704,0.0354,0.6864,0.0515,False
S6_alpha20,Strong Thermoelastic Coupling (2.0x alpha_t),2,1.3051,1.8,0.4949,1.5525,0.3188,True
S7_case1,"Case I: Pure Mechanical Bragg (beta->0, base gradient, eta=0.5)",1,1.5702,1.6763,0.1061,1.6232,0.0653,False
S7_case2,"Case II: Baseline Active DPL (base gradient, eta=0.5)",1,0.6687,0.704,0.0354,0.6864,0.0515,False
S7_case2,"Case II: Baseline Active DPL (base gradient, eta=0.5)",2,1.3051,1.8,0.4949,1.5525,0.3188,True
S7_case3,"Case III: Low Gradient + DPL (d1/a=0.1, sqrt(c1)/a=0.1, eta=0.5)",1,0.2621,0.9869,0.7247,0.6245,1.1605,False
S7_case3,"Case III: Low Gradient + DPL (d1/a=0.1, sqrt(c1)/a=0.1, eta=0.5)",2,1.3051,1.3934,0.0884,1.3492,0.0655,False
S7_case4,"Case IV: High Gradient + DPL (d1/a=1.0, sqrt(c1)/a=0.8, eta=0.5)",1,0.4742,0.651,0.1768,0.5626,0.3142,False
S7_case4,"Case IV: High Gradient + DPL (d1/a=1.0, sqrt(c1)/a=0.8, eta=0.5)",2,0.6687,0.9515,0.2828,0.8101,0.3491,False
S7_case4,"Case IV: High Gradient + DPL (d1/a=1.0, sqrt(c1)/a=0.8, eta=0.5)",3,1.0576,1.8,0.7424,1.4288,0.5196,True
S7_case5,"Case V: Asymmetric Geometry + DPL (eta=0.2, base gradient)",1,0.5626,0.7394,0.1768,0.651,0.2715,False
S7_case5,"Case V: Asymmetric Geometry + DPL (eta=0.2, base gradient)",2,1.199,1.8,0.601,1.4995,0.4008,True
S7_case6,"Case VI: High Thermal Lag + DPL (tau_q=1ns, base gradient, eta=0.5)",1,0.6687,0.704,0.0354,0.6864,0.0515,False
S7_case6,"Case VI: High Thermal Lag + DPL (tau_q=1ns, base gradient, eta=0.5)",2,1.3051,1.8,0.4949,1.5525,0.3188,True
