chi,eta,runtime_s,worst_cond_P,pass_alpha_mean,stop_alpha_peak,n_gaps
0.0,0.2,0.363,9.38943,0.0038134634314715425,4.475178871341881,0
0.1,0.2,0.216,9.38943,0.00040662489898929036,4.52280801989545,0
0.2,0.2,0.22,9.38943,0.00025551919658865037,4.199874413635779,1
0.3,0.2,0.215,9.38943,0.00012082237514538466,5.655898806965972,1
0.4,0.2,0.204,9.38943,8.39809751527418e-05,6.141649824280234,1
0.5,0.2,0.186,9.38943,4.0013795450262365e-05,7.9058867884906405,1
0.6,0.2,0.193,9.38943,0.0004782784229392889,8.439158129422333,1
0.7,0.2,0.174,9.38943,0.0002263701052014058,4.088049695443379,1
0.8,0.2,0.166,9.38943,0.00021673094698442652,4.945877054616742,0
0.9,0.2,0.176,9.38943,1.8153472706632735e-05,4.015444750520017,1
1.0,0.2,0.174,9.38943,1.3750783605263668e-05,4.613221272580234,2
0.0,0.26,0.17,9.38943,0.0037932635528034483,4.103632392627471,0
0.1,0.26,0.177,9.38943,0.00016622039883299665,4.2257267323133085,0
0.2,0.26,0.218,9.38943,0.00015156192202067854,4.837340957214805,1
0.3,0.26,0.251,9.38943,0.0001455501747598646,6.12358362096068,1
0.4,0.26,0.238,9.38943,0.00014879101282233757,5.868542069399074,1
0.5,0.26,0.232,9.38943,9.63344562504462e-06,6.499060380110135,1
0.6,0.26,0.232,9.38943,8.733054523922816e-05,8.726527598290023,1
0.7,0.26,0.226,9.38943,1.5279266469376482e-05,5.6985546128467925,1
0.8,0.26,0.214,9.38943,1.0656240904841447e-05,3.7966226503695744,1
0.9,0.26,0.254,9.38943,2.009212767388381e-05,4.0727313991565,1
1.0,0.26,0.251,9.38943,1.6577831669583228e-05,4.7589081247676726,2
0.0,0.32,0.234,9.38943,0.004459380580555888,3.9433468426553455,0
0.1,0.32,0.216,9.38943,9.723617868362802e-06,4.223831716258445,0
0.2,0.32,0.216,9.38943,1.0787991062910661e-05,3.752948828901267,1
