chi,eta,gap_index,Omega_L,Omega_U,delta_Omega,Omega_mid,gap_to_midgap_ratio,is_boundary_truncated
0.2,0.2,1,0.9515,0.9869,0.0354,0.9692,0.0365,False
0.3,0.2,1,0.9692,1.0045,0.0354,0.9869,0.0358,False
0.4,0.2,1,0.9692,1.0222,0.053,0.9957,0.0533,False
0.5,0.2,1,0.9692,1.0222,0.053,0.9957,0.0533,False
0.6,0.2,1,0.9692,1.0222,0.053,0.9957,0.0533,False
0.7,0.2,1,0.9515,0.9869,0.0354,0.9692,0.0365,False
0.9,0.2,1,1.6586,1.8,0.1414,1.7293,0.0818,True
1.0,0.2,1,0.5626,0.7394,0.1768,0.651,0.2715,False
1.0,0.2,2,1.199,1.8,0.601,1.4995,0.4008,True
0.2,0.26,1,0.9515,0.9869,0.0354,0.9692,0.0365,False
0.3,0.26,1,0.9692,1.0045,0.0354,0.9869,0.0358,False
0.4,0.26,1,0.9692,1.0045,0.0354,0.9869,0.0358,False
0.5,0.26,1,0.9515,1.0222,0.0707,0.9869,0.0716,False
0.6,0.26,1,0.9515,1.0045,0.053,0.978,0.0542,False
0.7,0.26,1,0.9338,0.9869,0.053,0.9604,0.0552,False
0.8,0.26,1,0.8985,0.9338,0.0354,0.9162,0.0386,False
0.9,0.26,1,1.6232,1.8,0.1768,1.7116,0.1033,True
1.0,0.26,1,0.5626,0.7394,0.1768,0.651,0.2715,False
1.0,0.26,2,1.1813,1.8,0.6187,1.4907,0.415,True
0.2,0.32,1,0.9515,0.9869,0.0354,0.9692,0.0365,False
0.3,0.32,1,0.9515,1.0045,0.053,0.978,0.0542,False
0.4,0.32,1,0.9515,1.0045,0.053,0.978,0.0542,False
0.5,0.32,1,0.9515,1.0222,0.0707,0.9869,0.0716,False
0.6,0.32,1,0.9338,1.0045,0.0707,0.9692,0.073,False
0.7,0.32,1,0.9162,0.9869,0.0707,0.9515,0.0743,False
0.8,0.32,1,0.8808,0.9338,0.053,0.9073,0.0584,False
0.9,0.32,1,1.6232,1.8,0.1768,1.7116,0.1033,True
1.0,0.32,1,0.5803,0.7217,0.1414,0.651,0.2172,False
1.0,0.32,2,1.1813,1.8,0.6187,1.4907,0.415,True
0.3,0.38,1,0.9515,0.9869,0.0354,0.9692,0.0365,False
0.4,0.38,1,0.9515,1.0045,0.053,0.978,0.0542,False
0.5,0.38,1,0.9338,1.0045,0.0707,0.9692,0.073,False
0.6,0.38,1,0.9162,1.0045,0.0884,0.9604,0.092,False
0.7,0.38,1,0.8985,0.9869,0.0884,0.9427,0.0938,False
0.8,0.38,1,0.8631,0.9338,0.0707,0.8985,0.0787,False
0.9,0.38,1,0.8101,0.8455,0.0354,0.8278,0.0427,False
0.9,0.38,2,1.6586,1.8,0.1414,1.7293,0.0818,True
1.0,0.38,1,0.598,0.7217,0.1237,0.6598,0.1875,False
1.0,0.38,2,1.199,1.8,0.601,1.4995,0.4008,True
0.2,0.44,1,0.9338,0.9692,0.0354,0.9515,0.0372,False
0.3,0.44,1,0.9338,0.9869,0.053,0.9604,0.0552,False
0.4,0.44,1,0.9338,1.0045,0.0707,0.9692,0.073,False
0.5,0.44,1,0.9338,1.0045,0.0707,0.9692,0.073,False
0.6,0.44,1,0.9162,1.0045,0.0884,0.9604,0.092,False
0.7,0.44,1,0.8808,0.9869,0.1061,0.9338,0.1136,False
0.8,0.44,1,0.8455,0.9515,0.1061,0.8985,0.118,False
0.9,0.44,1,0.7924,0.8631,0.0707,0.8278,0.0854,False
0.9,0.44,2,1.7116,1.8,0.0884,1.7558,0.0503,True
1.0,0.44,1,0.6333,0.704,0.0707,0.6687,0.1057,False
1.0,0.44,2,1.2343,1.8,0.5657,1.5172,0.3728,True
0.2,0.5,1,0.9338,0.9692,0.0354,0.9515,0.0372,False
0.3,0.5,1,0.9338,0.9869,0.053,0.9604,0.0552,False
0.4,0.5,1,0.9338,1.0045,0.0707,0.9692,0.073,False
0.5,0.5,1,0.9162,1.0045,0.0884,0.9604,0.092,False
0.6,0.5,1,0.8985,1.0045,0.1061,0.9515,0.1115,False
0.7,0.5,1,0.8808,0.9869,0.1061,0.9338,0.1136,False
0.8,0.5,1,0.8455,0.9515,0.1061,0.8985,0.118,False
0.9,0.5,1,0.7924,0.8808,0.0884,0.8366,0.1056,False
